From	To
Q86YB8	56605
P17787	1141
O75506	3281
A5D8V6	55048
Q9UPM6	26468
O43157	5364
Q9H1Z4	64743
Q16778	8349
Q8TD08	225689
P09936	7345
A6XNE0	5047
Q96KB5	55872
Q9HAW4	63967
Q9NQX0	93166
Q07817	598
A0A0A0MRA8	23136
O96001	10842
Q8TEX9	79711
P04350	10382
P04745	276
P04745	277
P04745	278
Q3KR16	55200
O60503	115
Q96EY4	55319
P27658	1295
Q9UHQ9	51706
Q6UW63	79070
Q08830	2267
O43760	9144
Q9NY65	51807
P12259	2153
P43004	6506
Q96Q83	221120
B7WPL9	9677
Q8WY36	56987
Q5VXI4	55160
Q9P232	5067
Q9BS34	93474
O76080	7763
Q8N841	284076
G3XAL0	4191
O75147	23363
P03372	2099
Q7Z3Z4	143689
Q9NR71	56624
O75054	3321
A8MWY0	222223
P28562	1843
P29966	4082
O14745	9368
Q9Y2X3	51602
P15408	2355
Q5TAQ9	50717
P20827	1942
Q92736	6262
P18615	7936
P07949	5979
O43680	6943
P62081	6201
Q2V2M9	80206
Q8WVM0	51106
E9PBQ7	2555
P08138	4804
P01116	3845
P14653	3211
Q02363	3398
F5H496	1366
P19878	4688
O60264	8467
Q9BXR0	81890
Q9BY21	53836
Q96IZ0	5074
P49759	1195
Q8NI32	130576
Q9UQC2	9846
P30050	6136
O00167	2139
Q9XRX5	11147
H9KV77	55352
Q92835	3635
A0A0G2JKR7	6257
Q8TDY8	57722
Q9P2W3	51764
Q13636	11031
Q8WVB3	284004
Q68D06	146857
Q6NSZ9	221785
A6NGQ3	84033
Q9BYC8	64983
Q9BQG0	10514
P01008	462
P24001	9235
P46934	4734
Q6UWF3	388325
B3KPE6	57507
O15524	8651
A0A0A0MRS8	57576
Q9UBR2	1522
Q8IY37	57647
Q9Y2V3	30062
Q9Y5R6	1761
P02787	7018
P11802	1019
F5H0R1	64852
Q8NG11	81619
P07737	5216
P49589	833
Q3SXY8	200894
Q96JQ0	8642
Q96GE9	90871
Q9UJK0	115939
P39060	80781
P62910	6161
P78504	182
O43557	8740
P55061	7009
P53814	6525
Q9H6X4	80194
Q30KQ4	245930
Q96RR4	10645
Q9HB03	83401
Q6ZRF8	388591
Q9BQC6	78988
Q86XP1	160851
Q92959	6578
O43283	9175
Q5TCX8	84451
Q96DD7	149345
Q96B49	100188893
